Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
0.62,1.6,1.17,35,35.67,48.33,20.5,3.33,41.67,55.67,48.33
0.62,2.02,0.47,36.66,20.34,28.33,16.67,3,33.66,39.67,40
0.63,0.98,0.91,10,11.84,21.67,9.83,1.17,37.5,23.5,26.67
0.63,1.08,0.8,20,13.5,30,13.67,2.17,32.17,25.33,38.33
0.63,1.18,0.66,25,32,35,18.67,3.33,37,31,25
0.63,1.19,2.2,18.34,22,31.66,8.17,3.67,41.17,26.17,21.67
0.63,1.8,1.69,46.67,23.67,38.33,19.5,3,38.67,46.33,41.67
0.64,2.4,1.26,40,34.67,38.33,16,3,18,44.83,43.33
0.65,0.89,0.59,20,14,26.67,13.17,1,34.16,20.17,31.67
0.65,0.93,0.08,20,15.17,23.33,11.17,1.67,39.5,25.67,31.67
0.65,1.18,0.23,15,16.83,20,8.5,2.83,38.5,21,26.67
0.65,1.5,0.69,26.67,21.16,30,19.67,1.5,39.5,30,38.33
0.65,1.5,1.01,31.67,27.67,43.34,15.33,4.67,32,35.67,30
0.65,2.03,0.92,40,20.5,26.66,18,2.17,40.67,43.5,41.67
0.65,2.21,0.78,51.67,44.66,45,19.67,3.33,41.33,53.33,48.33
0.67,1.42,1.12,25,23.67,28.33,12.83,3.33,23.33,27.33,23.33
0.67,1.44,1.72,33.33,27,35,13.5,3,33.42,34.17,31.67
0.67,2.08,0.08,36.66,20,23.34,16.67,2.33,35.66,39.5,41.67
0.68,0.98,0.25,15,20.33,26.67,11.17,2.33,37.34,24.67,28.33
0.68,1.43,1.01,25,18.33,30,7.17,3.5,30.67,32.33,23.33
0.68,1.6,0.62,21.66,16,25,17.33,2,31.67,27.83,30
